pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
combat_tank_v1 pettingzoo
Load combat_tank_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 77
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fd06df7c0d0>
combat_tank_v1 pettingzoo
Load combat_tank_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 88
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'combat_tank_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nxdo2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211205_2241/pettingzoo_combat_tank_v1_nxdo2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2241/pettingzoo_combat_tank_v1_nxdo2.
Episode: 1, avg. length 2045.0
first_0:                 episode reward: 3.0000,                 loss: 0.3449
second_0:                 episode reward: -3.0000,                 loss: nan
Episode: 21, avg. length 2045.0
first_0:                 episode reward: 1.5000,                 loss: 0.0646
second_0:                 episode reward: -1.5000,                 loss: nan
Episode: 41, avg. length 2045.0
first_0:                 episode reward: 0.9500,                 loss: 0.0238
second_0:                 episode reward: -0.9500,                 loss: nan
Episode: 61, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0231
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 81, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0277
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 101, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0221
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 121, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0152
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 141, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0128
second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 161, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0140
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 181, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0149
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 201, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0132
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 221, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: 0.0112
second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 241, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0108
second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 261, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: 0.0107
second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 281, avg. length 2045.0
first_0:                 episode reward: 0.5000,                 loss: 0.0108
second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 301, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.0106
second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 321, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: 0.0113
second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 341, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: 0.0116
second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 361, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0109
second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 381, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0105
second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 401, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0111
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 421, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0114
second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 441, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: 0.0111
second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 461, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0104
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 481, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0103
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 501, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0108
second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 521, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.0114
second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 541, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.0108
second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 561, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0104
second_0:                 episode reward: -0.2500,                 loss: nan
