pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 5
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fdd82253810>
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  ../data/model/20211120_1257/pettingzoo_boxing_v1_nash_dqn/12000_0
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': '../data/model/20211120_1257/pettingzoo_boxing_v1_nash_dqn/12000_0', 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}, 'against_baseline': False}
Save models to : /home/zihan/research/MARS/data/model/20211120_1257_exploit/pettingzoo_boxing_v1_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20211120_1257_exploit/pettingzoo_boxing_v1_nash_dqn.
Episode: 1, avg. length 593.0
first_0:                 episode reward: 98.0000,                 loss: nan
second_0:                 episode reward: -98.0000,                 loss: 1.3846
Episode: 21, avg. length 1357.25
first_0:                 episode reward: 56.3000,                 loss: nan
second_0:                 episode reward: -56.3000,                 loss: 0.5093
Episode: 41, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: nan
second_0:                 episode reward: 0.0000,                 loss: 0.0759
Episode: 61, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: nan
second_0:                 episode reward: 0.0000,                 loss: 0.0705
Episode: 81, avg. length 1680.75
first_0:                 episode reward: 12.0000,                 loss: nan
second_0:                 episode reward: -12.0000,                 loss: 0.0866
Episode: 101, avg. length 1780.85
first_0:                 episode reward: 7.1500,                 loss: nan
second_0:                 episode reward: -7.1500,                 loss: 0.0467
Episode: 121, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: nan
second_0:                 episode reward: 0.0000,                 loss: 0.0283
Episode: 141, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: nan
second_0:                 episode reward: 0.0000,                 loss: 0.0258
Episode: 161, avg. length 1763.2
first_0:                 episode reward: 11.2000,                 loss: nan
second_0:                 episode reward: -11.2000,                 loss: 0.0772
Episode: 181, avg. length 1784.0
first_0:                 episode reward: 29.4500,                 loss: nan
second_0:                 episode reward: -29.4500,                 loss: 0.0206
Episode: 201, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: nan
second_0:                 episode reward: 0.0000,                 loss: 0.0224
Episode: 221, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: nan
