pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
Load tennis_v2 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 44
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fece849cd10>
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  ../data/model/20211205_2243/pettingzoo_tennis_v2_nash_ppo/16000_0
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': '../data/model/20211205_2243/pettingzoo_tennis_v2_nash_ppo/16000_0', 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/zihan/research/MARS/data/model/20211205_2243_exploit/pettingzoo_tennis_v2_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2243_exploit/pettingzoo_tennis_v2_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1573.0,                last time consumption/overall running time: 33.5640s / 33.5640 s
first_0:                 episode reward: 29.0000,                 loss: nan
second_0:                 episode reward: -29.0000,                 loss: 0.4524
Episode: 21/10000 (0.2100%),                 avg. length: 2350.2,                last time consumption/overall running time: 1009.1809s / 1042.7449 s
first_0:                 episode reward: 45.5000,                 loss: nan
second_0:                 episode reward: -45.5000,                 loss: 0.0651
Episode: 41/10000 (0.4100%),                 avg. length: 3758.4,                last time consumption/overall running time: 1766.5598s / 2809.3047 s
first_0:                 episode reward: 75.0500,                 loss: nan
second_0:                 episode reward: -75.0500,                 loss: 0.0339
Episode: 61/10000 (0.6100%),                 avg. length: 4463.4,                last time consumption/overall running time: 2240.7289s / 5050.0336 s
first_0:                 episode reward: 81.2500,                 loss: nan
second_0:                 episode reward: -81.2500,                 loss: 0.0336
Episode: 81/10000 (0.8100%),                 avg. length: 2774.3,                last time consumption/overall running time: 1380.8704s / 6430.9040 s
first_0:                 episode reward: 42.2500,                 loss: nan
second_0:                 episode reward: -42.2500,                 loss: 0.0326
Episode: 101/10000 (1.0100%),                 avg. length: 2753.35,                last time consumption/overall running time: 1385.2120s / 7816.1160 s
first_0:                 episode reward: 25.3000,                 loss: nan
second_0:                 episode reward: -25.3000,                 loss: 0.0287
Episode: 121/10000 (1.2100%),                 avg. length: 2667.2,                last time consumption/overall running time: 1336.6805s / 9152.7965 s
first_0:                 episode reward: 12.9500,                 loss: nan
second_0:                 episode reward: -12.9500,                 loss: 0.0249
Episode: 141/10000 (1.4100%),                 avg. length: 3109.5,                last time consumption/overall running time: 1578.8480s / 10731.6445 s
first_0:                 episode reward: 7.8000,                 loss: nan
second_0:                 episode reward: -7.8000,                 loss: 0.0230
Episode: 161/10000 (1.6100%),                 avg. length: 4498.8,                last time consumption/overall running time: 2297.2182s / 13028.8627 s
first_0:                 episode reward: 0.7000,                 loss: nan
second_0:                 episode reward: -0.7000,                 loss: 0.0232
Episode: 181/10000 (1.8100%),                 avg. length: 8565.35,                last time consumption/overall running time: 4339.7388s / 17368.6015 s
first_0:                 episode reward: -66.5500,                 loss: nan
second_0:                 episode reward: 66.5500,                 loss: 0.0285
Episode: 201/10000 (2.0100%),                 avg. length: 7720.15,                last time consumption/overall running time: 3858.6253s / 21227.2268 s
first_0:                 episode reward: -60.1000,                 loss: nan
second_0:                 episode reward: 60.1000,                 loss: 0.0326
Episode: 221/10000 (2.2100%),                 avg. length: 7874.4,                last time consumption/overall running time: 3943.8773s / 25171.1041 s
first_0:                 episode reward: -76.3500,                 loss: nan
second_0:                 episode reward: 76.3500,                 loss: 0.0290
Episode: 241/10000 (2.4100%),                 avg. length: 8955.35,                last time consumption/overall running time: 4487.8133s / 29658.9174 s
first_0:                 episode reward: -53.8500,                 loss: nan
second_0:                 episode reward: 53.8500,                 loss: 0.0299
Episode: 261/10000 (2.6100%),                 avg. length: 9311.7,                last time consumption/overall running time: 4615.4576s / 34274.3750 s
first_0:                 episode reward: -66.1500,                 loss: nan
second_0:                 episode reward: 66.1500,                 loss: 0.0274
Episode: 281/10000 (2.8100%),                 avg. length: 9121.75,                last time consumption/overall running time: 4593.4891s / 38867.8641 s
first_0:                 episode reward: -81.3500,                 loss: nan
second_0:                 episode reward: 81.3500,                 loss: 0.0238
Episode: 301/10000 (3.0100%),                 avg. length: 7904.2,                last time consumption/overall running time: 4031.1800s / 42899.0441 s
first_0:                 episode reward: -92.3500,                 loss: nan
second_0:                 episode reward: 92.3500,                 loss: 0.0226
Episode: 321/10000 (3.2100%),                 avg. length: 8815.7,                last time consumption/overall running time: 4460.2320s / 47359.2762 s
first_0:                 episode reward: -26.7500,                 loss: nan
second_0:                 episode reward: 26.7500,                 loss: 0.0258
Episode: 341/10000 (3.4100%),                 avg. length: 8150.35,                last time consumption/overall running time: 4017.4736s / 51376.7498 s
first_0:                 episode reward: -62.7500,                 loss: nan
second_0:                 episode reward: 62.7500,                 loss: 0.0256
Episode: 361/10000 (3.6100%),                 avg. length: 8463.0,                last time consumption/overall running time: 4127.4438s / 55504.1935 s
first_0:                 episode reward: -84.5500,                 loss: nan
second_0:                 episode reward: 84.5500,                 loss: 0.0236
Episode: 381/10000 (3.8100%),                 avg. length: 8185.5,                last time consumption/overall running time: 4030.3621s / 59534.5557 s
first_0:                 episode reward: -62.9000,                 loss: nan
second_0:                 episode reward: 62.9000,                 loss: 0.0257
Episode: 401/10000 (4.0100%),                 avg. length: 8649.45,                last time consumption/overall running time: 4290.3819s / 63824.9375 s
first_0:                 episode reward: -47.9000,                 loss: nan
second_0:                 episode reward: 47.9000,                 loss: 0.0255
Episode: 421/10000 (4.2100%),                 avg. length: 7667.7,                last time consumption/overall running time: 3916.2702s / 67741.2077 s
first_0:                 episode reward: -44.9500,                 loss: nan
second_0:                 episode reward: 44.9500,                 loss: 0.0255
Episode: 441/10000 (4.4100%),                 avg. length: 9115.55,                last time consumption/overall running time: 4596.7747s / 72337.9823 s
first_0:                 episode reward: -86.9500,                 loss: nan
second_0:                 episode reward: 86.9500,                 loss: 0.0260
Episode: 461/10000 (4.6100%),                 avg. length: 8072.7,                last time consumption/overall running time: 4057.5115s / 76395.4938 s
first_0:                 episode reward: 79.8500,                 loss: nan
second_0:                 episode reward: -79.8500,                 loss: 0.0320
Episode: 481/10000 (4.8100%),                 avg. length: 7872.0,                last time consumption/overall running time: 4005.6639s / 80401.1577 s
first_0:                 episode reward: -39.0000,                 loss: nan
second_0:                 episode reward: 39.0000,                 loss: 0.0244
Episode: 501/10000 (5.0100%),                 avg. length: 9228.55,                last time consumption/overall running time: 4493.5084s / 84894.6661 s
first_0:                 episode reward: -58.7500,                 loss: nan
second_0:                 episode reward: 58.7500,                 loss: 0.0265
Episode: 521/10000 (5.2100%),                 avg. length: 7965.05,                last time consumption/overall running time: 3775.7393s / 88670.4053 s
first_0:                 episode reward: -65.5000,                 loss: nan
second_0:                 episode reward: 65.5000,                 loss: 0.0253
Episode: 541/10000 (5.4100%),                 avg. length: 8249.55,                last time consumption/overall running time: 3895.4242s / 92565.8296 s
first_0:                 episode reward: -91.1500,                 loss: nan
second_0:                 episode reward: 91.1500,                 loss: 0.0263
Episode: 561/10000 (5.6100%),                 avg. length: 8772.2,                last time consumption/overall running time: 4097.4597s / 96663.2893 s
first_0:                 episode reward: -59.7500,                 loss: nan
second_0:                 episode reward: 59.7500,                 loss: 0.0274
Episode: 581/10000 (5.8100%),                 avg. length: 7292.6,                last time consumption/overall running time: 3410.3005s / 100073.5897 s
first_0:                 episode reward: -51.1500,                 loss: nan
second_0:                 episode reward: 51.1500,                 loss: 0.0252
Episode: 601/10000 (6.0100%),                 avg. length: 6051.55,                last time consumption/overall running time: 2781.4178s / 102855.0075 s
first_0:                 episode reward: -66.9500,                 loss: nan
second_0:                 episode reward: 66.9500,                 loss: 0.0249
Episode: 621/10000 (6.2100%),                 avg. length: 9315.95,                last time consumption/overall running time: 4255.1913s / 107110.1989 s
first_0:                 episode reward: -110.9500,                 loss: nan
second_0:                 episode reward: 110.9500,                 loss: 0.0279
