pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
Load surround_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(5)
random seed: 51
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f1ec6efd850>
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  ../data/model/20211205_2243/pettingzoo_surround_v1_nash_ppo/28000_0
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': '../data/model/20211205_2243/pettingzoo_surround_v1_nash_ppo/28000_0', 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/zihan/research/MARS/data/model/20211205_2243_exploit/pettingzoo_surround_v1_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2243_exploit/pettingzoo_surround_v1_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1115.0,                last time consumption/overall running time: 24.4026s / 24.4026 s
first_0:                 episode reward: 9.0000,                 loss: nan
second_0:                 episode reward: -9.0000,                 loss: 0.3471
Episode: 21/10000 (0.2100%),                 avg. length: 1229.65,                last time consumption/overall running time: 525.6379s / 550.0405 s
first_0:                 episode reward: 9.1500,                 loss: nan
second_0:                 episode reward: -9.1500,                 loss: 0.0434
Episode: 41/10000 (0.4100%),                 avg. length: 1470.15,                last time consumption/overall running time: 681.1121s / 1231.1526 s
first_0:                 episode reward: 6.8000,                 loss: nan
second_0:                 episode reward: -6.8000,                 loss: 0.0346
Episode: 61/10000 (0.6100%),                 avg. length: 1324.4,                last time consumption/overall running time: 620.7582s / 1851.9109 s
first_0:                 episode reward: 8.3500,                 loss: nan
second_0:                 episode reward: -8.3500,                 loss: 0.0451
Episode: 81/10000 (0.8100%),                 avg. length: 1481.5,                last time consumption/overall running time: 716.1479s / 2568.0587 s
first_0:                 episode reward: 7.7000,                 loss: nan
second_0:                 episode reward: -7.7000,                 loss: 0.0437
Episode: 101/10000 (1.0100%),                 avg. length: 1935.45,                last time consumption/overall running time: 911.1267s / 3479.1855 s
first_0:                 episode reward: 3.4000,                 loss: nan
second_0:                 episode reward: -3.4000,                 loss: 0.0477
Episode: 121/10000 (1.2100%),                 avg. length: 1792.05,                last time consumption/overall running time: 821.3631s / 4300.5486 s
first_0:                 episode reward: 2.6500,                 loss: nan
second_0:                 episode reward: -2.6500,                 loss: 0.0347
Episode: 141/10000 (1.4100%),                 avg. length: 1658.5,                last time consumption/overall running time: 772.3191s / 5072.8677 s
first_0:                 episode reward: -2.9500,                 loss: nan
second_0:                 episode reward: 2.9500,                 loss: 0.0325
Episode: 161/10000 (1.6100%),                 avg. length: 1422.8,                last time consumption/overall running time: 632.8264s / 5705.6941 s
first_0:                 episode reward: -8.2000,                 loss: nan
second_0:                 episode reward: 8.2000,                 loss: 0.0343
Episode: 181/10000 (1.8100%),                 avg. length: 1260.9,                last time consumption/overall running time: 587.0373s / 6292.7314 s
first_0:                 episode reward: -8.1500,                 loss: nan
second_0:                 episode reward: 8.1500,                 loss: 0.0397
Episode: 201/10000 (2.0100%),                 avg. length: 1417.05,                last time consumption/overall running time: 641.3214s / 6934.0528 s
first_0:                 episode reward: -8.4500,                 loss: nan
second_0:                 episode reward: 8.4500,                 loss: 0.0353
Episode: 221/10000 (2.2100%),                 avg. length: 1583.5,                last time consumption/overall running time: 733.7658s / 7667.8187 s
first_0:                 episode reward: -6.9000,                 loss: nan
second_0:                 episode reward: 6.9000,                 loss: 0.0401
Episode: 241/10000 (2.4100%),                 avg. length: 1483.55,                last time consumption/overall running time: 671.0221s / 8338.8408 s
first_0:                 episode reward: -8.9000,                 loss: nan
second_0:                 episode reward: 8.9000,                 loss: 0.0353
Episode: 261/10000 (2.6100%),                 avg. length: 1471.35,                last time consumption/overall running time: 678.0240s / 9016.8647 s
first_0:                 episode reward: 2.7500,                 loss: nan
second_0:                 episode reward: -2.7500,                 loss: 0.0310
Episode: 281/10000 (2.8100%),                 avg. length: 1340.85,                last time consumption/overall running time: 615.4530s / 9632.3178 s
first_0:                 episode reward: -0.6500,                 loss: nan
second_0:                 episode reward: 0.6500,                 loss: 0.0255
Episode: 301/10000 (3.0100%),                 avg. length: 1533.5,                last time consumption/overall running time: 738.3747s / 10370.6925 s
first_0:                 episode reward: -3.8000,                 loss: nan
second_0:                 episode reward: 3.8000,                 loss: 0.0320
Episode: 321/10000 (3.2100%),                 avg. length: 1507.2,                last time consumption/overall running time: 691.6933s / 11062.3858 s
first_0:                 episode reward: -8.7000,                 loss: nan
second_0:                 episode reward: 8.7000,                 loss: 0.0347
Episode: 341/10000 (3.4100%),                 avg. length: 1598.3,                last time consumption/overall running time: 738.7227s / 11801.1085 s
first_0:                 episode reward: -8.3500,                 loss: nan
second_0:                 episode reward: 8.3500,                 loss: 0.0366
Episode: 361/10000 (3.6100%),                 avg. length: 1783.75,                last time consumption/overall running time: 819.3150s / 12620.4235 s
first_0:                 episode reward: -3.6000,                 loss: nan
second_0:                 episode reward: 3.6000,                 loss: 0.0279
Episode: 381/10000 (3.8100%),                 avg. length: 1457.95,                last time consumption/overall running time: 681.6044s / 13302.0280 s
first_0:                 episode reward: 6.8500,                 loss: nan
second_0:                 episode reward: -6.8500,                 loss: 0.0271
Episode: 401/10000 (4.0100%),                 avg. length: 1482.5,                last time consumption/overall running time: 689.0580s / 13991.0859 s
first_0:                 episode reward: -0.9500,                 loss: nan
second_0:                 episode reward: 0.9500,                 loss: 0.0356
Episode: 421/10000 (4.2100%),                 avg. length: 1401.65,                last time consumption/overall running time: 647.3672s / 14638.4532 s
first_0:                 episode reward: -9.4000,                 loss: nan
second_0:                 episode reward: 9.4000,                 loss: 0.0347
Episode: 441/10000 (4.4100%),                 avg. length: 1383.2,                last time consumption/overall running time: 657.4410s / 15295.8942 s
first_0:                 episode reward: -9.2500,                 loss: nan
second_0:                 episode reward: 9.2500,                 loss: 0.0434
Episode: 461/10000 (4.6100%),                 avg. length: 1405.3,                last time consumption/overall running time: 659.2574s / 15955.1516 s
first_0:                 episode reward: -8.9000,                 loss: nan
second_0:                 episode reward: 8.9000,                 loss: 0.0407
Episode: 481/10000 (4.8100%),                 avg. length: 1518.6,                last time consumption/overall running time: 685.8579s / 16641.0095 s
first_0:                 episode reward: 1.1000,                 loss: nan
second_0:                 episode reward: -1.1000,                 loss: 0.0248
Episode: 501/10000 (5.0100%),                 avg. length: 1544.25,                last time consumption/overall running time: 709.1639s / 17350.1735 s
first_0:                 episode reward: -5.7000,                 loss: nan
second_0:                 episode reward: 5.7000,                 loss: 0.0283
Episode: 521/10000 (5.2100%),                 avg. length: 1525.3,                last time consumption/overall running time: 701.4352s / 18051.6087 s
first_0:                 episode reward: -7.8000,                 loss: nan
second_0:                 episode reward: 7.8000,                 loss: 0.0251
Episode: 541/10000 (5.4100%),                 avg. length: 1366.8,                last time consumption/overall running time: 617.9519s / 18669.5606 s
first_0:                 episode reward: -9.6000,                 loss: nan
second_0:                 episode reward: 9.6000,                 loss: 0.0326
Episode: 561/10000 (5.6100%),                 avg. length: 1522.95,                last time consumption/overall running time: 682.9002s / 19352.4607 s
first_0:                 episode reward: -7.8000,                 loss: nan
second_0:                 episode reward: 7.8000,                 loss: 0.0336
Episode: 581/10000 (5.8100%),                 avg. length: 1477.25,                last time consumption/overall running time: 661.8593s / 20014.3201 s
first_0:                 episode reward: -9.0500,                 loss: nan
second_0:                 episode reward: 9.0500,                 loss: 0.0316
Episode: 601/10000 (6.0100%),                 avg. length: 1539.0,                last time consumption/overall running time: 722.1486s / 20736.4687 s
first_0:                 episode reward: -7.4500,                 loss: nan
second_0:                 episode reward: 7.4500,                 loss: 0.0274
Episode: 621/10000 (6.2100%),                 avg. length: 1433.15,                last time consumption/overall running time: 660.2838s / 21396.7525 s
first_0:                 episode reward: -9.6500,                 loss: nan
second_0:                 episode reward: 9.6500,                 loss: 0.0224
Episode: 641/10000 (6.4100%),                 avg. length: 1664.25,                last time consumption/overall running time: 758.9814s / 22155.7339 s
first_0:                 episode reward: -7.8500,                 loss: nan
second_0:                 episode reward: 7.8500,                 loss: 0.0245
Episode: 661/10000 (6.6100%),                 avg. length: 1953.15,                last time consumption/overall running time: 883.9060s / 23039.6398 s
first_0:                 episode reward: 2.6000,                 loss: nan
second_0:                 episode reward: -2.6000,                 loss: 0.0254
