pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 51
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f40d7d02910>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 60, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211109_1530/pettingzoo_boxing_v1_selfplay. 
 Save logs to: /home/zihan/research/MARS/data/log/20211109_1530/pettingzoo_boxing_v1_selfplay.
Episode: 1, avg. length 1784.0
first_0:                 episode reward: 7.0000,                 loss: 0.5741
second_0:                 episode reward: -7.0000,                 loss: nan
Episode: 21, avg. length 1784.0
first_0:                 episode reward: 17.2000,                 loss: 0.0857
second_0:                 episode reward: -17.2000,                 loss: nan
Episode: 41, avg. length 1784.0
first_0:                 episode reward: 15.0500,                 loss: 0.0368
second_0:                 episode reward: -15.0500,                 loss: nan
Episode: 61, avg. length 1784.0
first_0:                 episode reward: 21.8000,                 loss: 0.0421
second_0:                 episode reward: -21.8000,                 loss: nan
Episode: 81, avg. length 1784.0
first_0:                 episode reward: 21.6000,                 loss: 0.0457
second_0:                 episode reward: -21.6000,                 loss: nan
Score delta: 62.0, udpate the opponent.
Episode: 101, avg. length 1784.0
first_0:                 episode reward: 11.3500,                 loss: 0.0435
second_0:                 episode reward: -11.3500,                 loss: nan
Episode: 121, avg. length 1784.0
first_0:                 episode reward: 21.9500,                 loss: 0.0648
second_0:                 episode reward: -21.9500,                 loss: nan
Score delta: 64.8, udpate the opponent.
Episode: 141, avg. length 1784.0
first_0:                 episode reward: 23.6500,                 loss: 0.0683
second_0:                 episode reward: -23.6500,                 loss: nan
Score delta: 66.2, udpate the opponent.
Episode: 161, avg. length 1731.65
first_0:                 episode reward: 16.3000,                 loss: 0.0711
second_0:                 episode reward: -16.3000,                 loss: nan
Episode: 181, avg. length 1744.85
first_0:                 episode reward: 10.2500,                 loss: 0.0296
second_0:                 episode reward: -10.2500,                 loss: nan
Score delta: 63.8, udpate the opponent.
Episode: 201, avg. length 1761.15
first_0:                 episode reward: 23.8500,                 loss: 0.0469
second_0:                 episode reward: -23.8500,                 loss: nan
Score delta: 62.0, udpate the opponent.
Episode: 221, avg. length 1784.0
