pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
combat_plane_v1 pettingzoo
Load combat_plane_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 53
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7ffad6d69390>
No agent are not learnable.
Arguments:  {'env_name': 'combat_plane_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nfsp', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'eta': 0.1}}
Save models to : /home/zihan/research/MARS/data/model/20211109_1530/pettingzoo_combat_plane_v1_nfsp. 
 Save logs to: /home/zihan/research/MARS/data/log/20211109_1530/pettingzoo_combat_plane_v1_nfsp.
Episode: 1, avg. length 2045.0
first_0:                 episode reward: -4.0000,                 loss: 0.6802
second_0:                 episode reward: 4.0000,                 loss: 0.4517
Episode: 21, avg. length 2045.0
first_0:                 episode reward: -1.1500,                 loss: 0.0898
second_0:                 episode reward: 1.1500,                 loss: 0.1318
Episode: 41, avg. length 2045.0
first_0:                 episode reward: -1.3500,                 loss: 0.0243
second_0:                 episode reward: 1.3500,                 loss: 0.0777
Episode: 61, avg. length 2045.0
first_0:                 episode reward: -1.2500,                 loss: 0.0177
second_0:                 episode reward: 1.2500,                 loss: 0.0211
Episode: 81, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0174
second_0:                 episode reward: 0.0500,                 loss: 0.0232
Episode: 101, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0169
second_0:                 episode reward: -0.1500,                 loss: 0.0189
Episode: 121, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.0158
second_0:                 episode reward: 0.6500,                 loss: 0.0216
Episode: 141, avg. length 2045.0
first_0:                 episode reward: -0.8000,                 loss: 0.0159
second_0:                 episode reward: 0.8000,                 loss: 0.0200
Episode: 161, avg. length 2045.0
first_0:                 episode reward: -1.2000,                 loss: 0.0160
second_0:                 episode reward: 1.2000,                 loss: 0.0200
Episode: 181, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0161
second_0:                 episode reward: -0.0500,                 loss: 0.0232
Episode: 201, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0156
second_0:                 episode reward: -0.2000,                 loss: 0.0249
Episode: 221, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: 0.0159
second_0:                 episode reward: 0.6000,                 loss: 0.0193
Episode: 241, avg. length 2045.0
first_0:                 episode reward: 2.1000,                 loss: 0.0161
second_0:                 episode reward: -2.1000,                 loss: 0.0189
Episode: 261, avg. length 2045.0
first_0:                 episode reward: 1.1000,                 loss: 0.0159
second_0:                 episode reward: -1.1000,                 loss: 0.0273
Episode: 281, avg. length 2045.0
first_0:                 episode reward: -1.5500,                 loss: 0.0157
second_0:                 episode reward: 1.5500,                 loss: 0.0282
Episode: 301, avg. length 2045.0
first_0:                 episode reward: -0.9500,                 loss: 0.0161
second_0:                 episode reward: 0.9500,                 loss: 0.0215
Episode: 321, avg. length 2045.0
first_0:                 episode reward: -1.3000,                 loss: 0.0161
second_0:                 episode reward: 1.3000,                 loss: 0.0214
Episode: 341, avg. length 2045.0
first_0:                 episode reward: -1.3000,                 loss: 0.0161
second_0:                 episode reward: 1.3000,                 loss: 0.0205
Episode: 361, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: 0.0155
second_0:                 episode reward: -0.7000,                 loss: 0.0251
Episode: 381, avg. length 2045.0
first_0:                 episode reward: 1.3500,                 loss: 0.0154
second_0:                 episode reward: -1.3500,                 loss: 0.0308
Episode: 401, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.0156
second_0:                 episode reward: 0.5500,                 loss: 0.0211
Episode: 421, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.0156
second_0:                 episode reward: -0.3000,                 loss: 0.0225
Episode: 441, avg. length 2045.0
first_0:                 episode reward: -0.7000,                 loss: 0.0156
second_0:                 episode reward: 0.7000,                 loss: 0.0313
Episode: 461, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0159
second_0:                 episode reward: -0.1000,                 loss: 0.0238
Episode: 481, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0156
second_0:                 episode reward: 0.5000,                 loss: 0.0410
Episode: 501, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0156
second_0:                 episode reward: -0.0500,                 loss: 0.0245
Episode: 521, avg. length 2045.0
first_0:                 episode reward: 0.8000,                 loss: 0.0155
second_0:                 episode reward: -0.8000,                 loss: 0.0315
Episode: 541, avg. length 2045.0
first_0:                 episode reward: 0.5000,                 loss: 0.0150
second_0:                 episode reward: -0.5000,                 loss: 0.0229
Episode: 561, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.0153
second_0:                 episode reward: 0.3500,                 loss: 0.0234
Episode: 581, avg. length 2045.0
first_0:                 episode reward: 0.9000,                 loss: 0.0153
second_0:                 episode reward: -0.9000,                 loss: 0.0361
Episode: 601, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0152
second_0:                 episode reward: -0.1500,                 loss: 0.0225
Episode: 621, avg. length 2045.0
first_0:                 episode reward: 2.1000,                 loss: 0.0151
second_0:                 episode reward: -2.1000,                 loss: 0.0267
Episode: 641, avg. length 2045.0
first_0:                 episode reward: 1.4000,                 loss: 0.0145
second_0:                 episode reward: -1.4000,                 loss: 0.0245
Episode: 661, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0145
second_0:                 episode reward: 0.1500,                 loss: 0.0198
Episode: 681, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0149
second_0:                 episode reward: 0.1500,                 loss: 0.0198
Episode: 701, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: 0.0152
second_0:                 episode reward: -0.3500,                 loss: 0.0278
Episode: 721, avg. length 2045.0
first_0:                 episode reward: -1.1500,                 loss: 0.0151
second_0:                 episode reward: 1.1500,                 loss: 0.0288
Episode: 741, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0153
second_0:                 episode reward: -0.4500,                 loss: 0.0236
Episode: 761, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0159
second_0:                 episode reward: -0.0500,                 loss: 0.0211
Episode: 781, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0165
second_0:                 episode reward: 0.0500,                 loss: 0.0229
Episode: 801, avg. length 2045.0
first_0:                 episode reward: 0.9000,                 loss: 0.0163
second_0:                 episode reward: -0.9000,                 loss: 0.0230
Episode: 821, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0153
second_0:                 episode reward: -0.1500,                 loss: 0.0204
Episode: 841, avg. length 2045.0
first_0:                 episode reward: -1.1500,                 loss: 0.0144
second_0:                 episode reward: 1.1500,                 loss: 0.0192
Episode: 861, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0145
second_0:                 episode reward: -0.1000,                 loss: 0.0205
Episode: 881, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: 0.0144
second_0:                 episode reward: -0.8500,                 loss: 0.0264
Episode: 901, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: 0.0151
second_0:                 episode reward: -0.8500,                 loss: 0.0231
Episode: 921, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.0156
second_0:                 episode reward: 0.2500,                 loss: 0.0264
Episode: 941, avg. length 2045.0
first_0:                 episode reward: 0.9500,                 loss: 0.0160
second_0:                 episode reward: -0.9500,                 loss: 0.0231
Episode: 961, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0161
second_0:                 episode reward: 0.5000,                 loss: 0.0214
Episode: 981, avg. length 2045.0
first_0:                 episode reward: 1.0000,                 loss: 0.0158
second_0:                 episode reward: -1.0000,                 loss: 0.0218
Episode: 1001, avg. length 2045.0
first_0:                 episode reward: 1.6000,                 loss: 0.0155
second_0:                 episode reward: -1.6000,                 loss: 0.0284
Episode: 1021, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: 0.0152
second_0:                 episode reward: -0.4000,                 loss: 0.0230
Episode: 1041, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.0149
second_0:                 episode reward: 0.3500,                 loss: 0.0297
Episode: 1061, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0145
second_0:                 episode reward: -0.0500,                 loss: 0.0243
Episode: 1081, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0144
second_0:                 episode reward: -0.4500,                 loss: 0.0294
Episode: 1101, avg. length 2045.0
first_0:                 episode reward: -1.6500,                 loss: 0.0146
second_0:                 episode reward: 1.6500,                 loss: 0.0385
Episode: 1121, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.0149
second_0:                 episode reward: 0.6500,                 loss: 0.0233
Episode: 1141, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: 0.0146
second_0:                 episode reward: -0.8500,                 loss: 0.0306
Episode: 1161, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0142
second_0:                 episode reward: -0.2000,                 loss: 0.0243
Episode: 1181, avg. length 2045.0
first_0:                 episode reward: -1.6500,                 loss: 0.0145
second_0:                 episode reward: 1.6500,                 loss: 0.0310
Episode: 1201, avg. length 2045.0
first_0:                 episode reward: -1.5500,                 loss: 0.0148
second_0:                 episode reward: 1.5500,                 loss: 0.0222
Episode: 1221, avg. length 2045.0
first_0:                 episode reward: -0.9000,                 loss: 0.0146
second_0:                 episode reward: 0.9000,                 loss: 0.0256
Episode: 1241, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: 0.0148
second_0:                 episode reward: -0.7500,                 loss: 0.0309
Episode: 1261, avg. length 2045.0
first_0:                 episode reward: -1.7000,                 loss: 0.0143
second_0:                 episode reward: 1.7000,                 loss: 0.0244
Episode: 1281, avg. length 2045.0
first_0:                 episode reward: 1.1000,                 loss: 0.0146
second_0:                 episode reward: -1.1000,                 loss: 0.0253
Episode: 1301, avg. length 2045.0
first_0:                 episode reward: -1.2500,                 loss: 0.0147
second_0:                 episode reward: 1.2500,                 loss: 0.0203
Episode: 1321, avg. length 2045.0
first_0:                 episode reward: 0.6000,                 loss: 0.0147
second_0:                 episode reward: -0.6000,                 loss: 0.0209
Episode: 1341, avg. length 2045.0
first_0:                 episode reward: -1.5500,                 loss: 0.0149
second_0:                 episode reward: 1.5500,                 loss: 0.0196
Episode: 1361, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0151
second_0:                 episode reward: 0.5000,                 loss: 0.0311
Episode: 1381, avg. length 2045.0
first_0:                 episode reward: 2.0000,                 loss: 0.0158
second_0:                 episode reward: -2.0000,                 loss: 0.0289
Episode: 1401, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0154
second_0:                 episode reward: 0.0500,                 loss: 0.0207
Episode: 1421, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0152
second_0:                 episode reward: 0.1500,                 loss: 0.0353
Episode: 1441, avg. length 2045.0
first_0:                 episode reward: 1.1000,                 loss: 0.0152
second_0:                 episode reward: -1.1000,                 loss: 0.0259
Episode: 1461, avg. length 2045.0
first_0:                 episode reward: 0.9500,                 loss: 0.0153
second_0:                 episode reward: -0.9500,                 loss: 0.0271
Episode: 1481, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.0159
second_0:                 episode reward: 0.4000,                 loss: 0.0195
Episode: 1501, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0153
second_0:                 episode reward: -0.2000,                 loss: 0.0194
Episode: 1521, avg. length 2045.0
first_0:                 episode reward: -2.1000,                 loss: 0.0150
second_0:                 episode reward: 2.1000,                 loss: 0.0205
Episode: 1541, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0144
second_0:                 episode reward: 0.1500,                 loss: 0.0203
Episode: 1561, avg. length 2045.0
first_0:                 episode reward: 0.8000,                 loss: 0.0140
second_0:                 episode reward: -0.8000,                 loss: 0.0291
Episode: 1581, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0139
second_0:                 episode reward: 0.0500,                 loss: 0.0203
Episode: 1601, avg. length 2045.0
first_0:                 episode reward: 1.3500,                 loss: 0.0140
second_0:                 episode reward: -1.3500,                 loss: 0.0223
Episode: 1621, avg. length 2045.0
first_0:                 episode reward: 3.3500,                 loss: 0.0140
second_0:                 episode reward: -3.3500,                 loss: 0.0300
Episode: 1641, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.0141
second_0:                 episode reward: 0.2000,                 loss: 0.0247
Episode: 1661, avg. length 2045.0
first_0:                 episode reward: 0.9000,                 loss: 0.0141
second_0:                 episode reward: -0.9000,                 loss: 0.0259
Episode: 1681, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0146
second_0:                 episode reward: 0.5000,                 loss: 0.0245
Episode: 1701, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: 0.0150
second_0:                 episode reward: 0.3000,                 loss: 0.0408
Episode: 1721, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0151
second_0:                 episode reward: -0.1000,                 loss: 0.0550
Episode: 1741, avg. length 2045.0
first_0:                 episode reward: 0.9500,                 loss: 0.0149
second_0:                 episode reward: -0.9500,                 loss: 0.0268
Episode: 1761, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: 0.0147
second_0:                 episode reward: 1.0000,                 loss: 0.0222
Episode: 1781, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0147
second_0:                 episode reward: -0.2500,                 loss: 0.0210
Episode: 1801, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.0146
second_0:                 episode reward: -0.5500,                 loss: 0.0306
Episode: 1821, avg. length 2045.0
first_0:                 episode reward: 0.6500,                 loss: 0.0147
second_0:                 episode reward: -0.6500,                 loss: 0.0301
Episode: 1841, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0149
second_0:                 episode reward: 0.0000,                 loss: 0.0255
Episode: 1861, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.0149
second_0:                 episode reward: 0.2500,                 loss: 0.0220
Episode: 1881, avg. length 2045.0
first_0:                 episode reward: -0.8500,                 loss: 0.0149
second_0:                 episode reward: 0.8500,                 loss: 0.0213
