pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
combat_plane_v1 pettingzoo
Load combat_plane_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 15
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f8cc0122850>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'combat_plane_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211109_1530/pettingzoo_combat_plane_v1_selfplay. 
 Save logs to: /home/zihan/research/MARS/data/log/20211109_1530/pettingzoo_combat_plane_v1_selfplay.
Episode: 1, avg. length 2045.0
first_0:                 episode reward: 10.0000,                 loss: 0.3689
second_0:                 episode reward: -10.0000,                 loss: nan
Episode: 21, avg. length 2045.0
first_0:                 episode reward: 8.2500,                 loss: 0.1261
second_0:                 episode reward: -8.2500,                 loss: nan
Episode: 41, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.0570
second_0:                 episode reward: -0.3000,                 loss: nan
Score delta: 17.2, udpate the opponent.
Episode: 61, avg. length 2045.0
first_0:                 episode reward: 1.2000,                 loss: 0.0188
second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 81, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: 0.0185
second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 101, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.0160
second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 121, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0159
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 141, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.0172
second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 161, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0165
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 181, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0149
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 201, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0151
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 221, avg. length 2045.0
first_0:                 episode reward: -0.7000,                 loss: 0.0159
second_0:                 episode reward: 0.7000,                 loss: nan
Episode: 241, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: 0.0155
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 261, avg. length 2045.0
first_0:                 episode reward: -1.1000,                 loss: 0.0155
second_0:                 episode reward: 1.1000,                 loss: nan
Episode: 281, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: 0.0151
second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 301, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.0150
second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 321, avg. length 2045.0
first_0:                 episode reward: -0.7000,                 loss: 0.0152
second_0:                 episode reward: 0.7000,                 loss: nan
Episode: 341, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.0156
second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 361, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0154
second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 381, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0170
second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 401, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.0186
second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 421, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0164
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 441, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: 0.0166
second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 461, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.0151
second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 481, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0148
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 501, avg. length 2045.0
first_0:                 episode reward: 1.2500,                 loss: 0.0144
second_0:                 episode reward: -1.2500,                 loss: nan
Episode: 521, avg. length 2045.0
first_0:                 episode reward: 1.3500,                 loss: 0.0137
second_0:                 episode reward: -1.3500,                 loss: nan
Episode: 541, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.0136
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 561, avg. length 2045.0
first_0:                 episode reward: -1.2500,                 loss: 0.0134
second_0:                 episode reward: 1.2500,                 loss: nan
Episode: 581, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.0135
second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 601, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0136
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 621, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.0140
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 641, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0139
second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 661, avg. length 2045.0
first_0:                 episode reward: 1.2500,                 loss: 0.0140
second_0:                 episode reward: -1.2500,                 loss: nan
Episode: 681, avg. length 2045.0
first_0:                 episode reward: 1.5500,                 loss: 0.0137
second_0:                 episode reward: -1.5500,                 loss: nan
Episode: 701, avg. length 2045.0
first_0:                 episode reward: -0.7000,                 loss: 0.0140
second_0:                 episode reward: 0.7000,                 loss: nan
Episode: 721, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.0142
second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 741, avg. length 2045.0
first_0:                 episode reward: -0.7000,                 loss: 0.0148
second_0:                 episode reward: 0.7000,                 loss: nan
Episode: 761, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0153
second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 781, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0159
second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 801, avg. length 2045.0
first_0:                 episode reward: 1.1500,                 loss: 0.0149
second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 821, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0152
second_0:                 episode reward: -0.0500,                 loss: nan
Episode: 841, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0173
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 861, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.0236
second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 881, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: 0.0204
second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 901, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: 0.0181
second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 921, avg. length 2045.0
first_0:                 episode reward: 1.1500,                 loss: 0.0186
second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 941, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.0182
second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 961, avg. length 2045.0
first_0:                 episode reward: 1.3500,                 loss: 0.0179
second_0:                 episode reward: -1.3500,                 loss: nan
Episode: 981, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: 0.0177
second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 1001, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0171
second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 1021, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0174
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 1041, avg. length 2045.0
first_0:                 episode reward: 1.3000,                 loss: 0.4240
second_0:                 episode reward: -1.3000,                 loss: nan
Episode: 1061, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: 0.5332
second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 1081, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: 0.5464
second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 1101, avg. length 2045.0
first_0:                 episode reward: 1.1500,                 loss: 0.5148
second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 1121, avg. length 2045.0
first_0:                 episode reward: -0.4500,                 loss: 0.4620
second_0:                 episode reward: 0.4500,                 loss: nan
Episode: 1141, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.5438
second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 1161, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: 0.4728
second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 1181, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.4905
second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 1201, avg. length 2045.0
first_0:                 episode reward: 0.6500,                 loss: 0.5191
second_0:                 episode reward: -0.6500,                 loss: nan
Episode: 1221, avg. length 2045.0
first_0:                 episode reward: 1.2000,                 loss: 0.4713
second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 1241, avg. length 2045.0
first_0:                 episode reward: -0.8000,                 loss: 0.4966
second_0:                 episode reward: 0.8000,                 loss: nan
Episode: 1261, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.5149
second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 1281, avg. length 2045.0
first_0:                 episode reward: 0.5000,                 loss: 0.5320
second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 1301, avg. length 2045.0
first_0:                 episode reward: 1.1500,                 loss: 0.5279
second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 1321, avg. length 2045.0
first_0:                 episode reward: 1.7500,                 loss: 0.5127
second_0:                 episode reward: -1.7500,                 loss: nan
Episode: 1341, avg. length 2045.0
first_0:                 episode reward: 1.3500,                 loss: 0.5203
second_0:                 episode reward: -1.3500,                 loss: nan
Episode: 1361, avg. length 2045.0
first_0:                 episode reward: 1.0500,                 loss: 0.5564
second_0:                 episode reward: -1.0500,                 loss: nan
Episode: 1381, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.4948
second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 1401, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: 0.5536
second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 1421, avg. length 2045.0
first_0:                 episode reward: 1.1500,                 loss: 0.5267
second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 1441, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.4934
second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 1461, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.5584
second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 1481, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.5307
second_0:                 episode reward: 0.2500,                 loss: nan
Episode: 1501, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.4842
second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 1521, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.5379
second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 1541, avg. length 2045.0
first_0:                 episode reward: 1.8500,                 loss: 0.5314
second_0:                 episode reward: -1.8500,                 loss: nan
Episode: 1561, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.4944
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 1581, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: 0.4739
second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 1601, avg. length 2045.0
first_0:                 episode reward: 1.4500,                 loss: 0.5029
second_0:                 episode reward: -1.4500,                 loss: nan
Episode: 1621, avg. length 2045.0
first_0:                 episode reward: 1.4000,                 loss: 0.5271
second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 1641, avg. length 2045.0
first_0:                 episode reward: 1.1000,                 loss: 0.5488
second_0:                 episode reward: -1.1000,                 loss: nan
Episode: 1661, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.4913
second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 1681, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.4805
second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 1701, avg. length 2045.0
first_0:                 episode reward: 0.9000,                 loss: 0.5398
second_0:                 episode reward: -0.9000,                 loss: nan
Episode: 1721, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.4818
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 1741, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.4995
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 1761, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: 0.5364
second_0:                 episode reward: 0.3000,                 loss: nan
Episode: 1781, avg. length 2045.0
first_0:                 episode reward: 0.2000,                 loss: 0.4990
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 1801, avg. length 2045.0
first_0:                 episode reward: 2.4000,                 loss: 0.4928
second_0:                 episode reward: -2.4000,                 loss: nan
Episode: 1821, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: 0.4847
second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 1841, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.5029
second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 1861, avg. length 2045.0
first_0:                 episode reward: 1.4000,                 loss: 0.4824
second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 1881, avg. length 2045.0
first_0:                 episode reward: 1.4500,                 loss: 0.5156
second_0:                 episode reward: -1.4500,                 loss: nan
Episode: 1901, avg. length 2045.0
first_0:                 episode reward: 1.5000,                 loss: 0.4876
second_0:                 episode reward: -1.5000,                 loss: nan
Episode: 1921, avg. length 2045.0
first_0:                 episode reward: 1.1500,                 loss: 0.5174
second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 1941, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.4842
second_0:                 episode reward: 0.4000,                 loss: nan
