pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
double_dunk_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'double_dunk_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220119_1545/pettingzoo_double_dunk_v2_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_1545/pettingzoo_double_dunk_v2_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 4503.0,                last time consumption/overall running time: 81.6803s / 81.6803 s
env0_first_0:                 episode reward: -22.0000,                 loss: -0.1066
env0_second_0:                 episode reward: 22.0000,                 loss: -0.0959
env1_first_0:                 episode reward: -28.0000,                 loss: nan
env1_second_0:                 episode reward: 28.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 3770.45,                last time consumption/overall running time: 1425.0000s / 1506.6804 s
env0_first_0:                 episode reward: -20.3000,                 loss: -0.0416
env0_second_0:                 episode reward: 20.3000,                 loss: -0.0505
env1_first_0:                 episode reward: -23.6500,                 loss: nan
env1_second_0:                 episode reward: 23.6500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 3714.4,                last time consumption/overall running time: 1411.3140s / 2917.9944 s
env0_first_0:                 episode reward: -22.4500,                 loss: 0.0003
env0_second_0:                 episode reward: 22.4500,                 loss: -0.0045
env1_first_0:                 episode reward: -26.6000,                 loss: nan
env1_second_0:                 episode reward: 26.6000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 4017.4,                last time consumption/overall running time: 1529.4641s / 4447.4585 s
env0_first_0:                 episode reward: -25.8000,                 loss: 0.0195
env0_second_0:                 episode reward: 25.8000,                 loss: 0.0187
env1_first_0:                 episode reward: -27.3000,                 loss: nan
env1_second_0:                 episode reward: 27.3000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 3676.6,                last time consumption/overall running time: 1397.6198s / 5845.0783 s
env0_first_0:                 episode reward: -27.3000,                 loss: 0.0615
env0_second_0:                 episode reward: 27.3000,                 loss: 0.0625
env1_first_0:                 episode reward: -24.4000,                 loss: nan
env1_second_0:                 episode reward: 24.4000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 3851.5,                last time consumption/overall running time: 1465.5089s / 7310.5872 s
env0_first_0:                 episode reward: -22.8000,                 loss: 0.0623
env0_second_0:                 episode reward: 22.8000,                 loss: 0.0670
env1_first_0:                 episode reward: -23.5000,                 loss: nan
env1_second_0:                 episode reward: 23.5000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 4051.5,                last time consumption/overall running time: 1538.7914s / 8849.3786 s
env0_first_0:                 episode reward: -24.0000,                 loss: 0.0635
env0_second_0:                 episode reward: 24.0000,                 loss: 0.0602
env1_first_0:                 episode reward: -25.1500,                 loss: nan
env1_second_0:                 episode reward: 25.1500,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 4057.85,                last time consumption/overall running time: 1540.7575s / 10390.1361 s
env0_first_0:                 episode reward: -26.3500,                 loss: 0.0621
env0_second_0:                 episode reward: 26.3500,                 loss: 0.0618
env1_first_0:                 episode reward: -25.0000,                 loss: nan
env1_second_0:                 episode reward: 25.0000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 3635.9,                last time consumption/overall running time: 1383.8427s / 11773.9787 s
env0_first_0:                 episode reward: -23.1500,                 loss: 0.0635
env0_second_0:                 episode reward: 23.1500,                 loss: 0.0669
env1_first_0:                 episode reward: -18.7500,                 loss: nan
env1_second_0:                 episode reward: 18.7500,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 3855.3,                last time consumption/overall running time: 1464.7227s / 13238.7014 s
env0_first_0:                 episode reward: -21.4500,                 loss: 0.0736
env0_second_0:                 episode reward: 21.4500,                 loss: 0.0720
env1_first_0:                 episode reward: -23.9000,                 loss: nan
env1_second_0:                 episode reward: 23.9000,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 4029.8,                last time consumption/overall running time: 1530.1296s / 14768.8310 s
env0_first_0:                 episode reward: -26.1500,                 loss: 0.0554
env0_second_0:                 episode reward: 26.1500,                 loss: 0.0602
env1_first_0:                 episode reward: -22.8000,                 loss: nan
env1_second_0:                 episode reward: 22.8000,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 4019.2,                last time consumption/overall running time: 1524.4127s / 16293.2437 s
env0_first_0:                 episode reward: -25.4000,                 loss: 0.0582
env0_second_0:                 episode reward: 25.4000,                 loss: 0.0602
env1_first_0:                 episode reward: -24.9000,                 loss: nan
env1_second_0:                 episode reward: 24.9000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 3737.5,                last time consumption/overall running time: 1423.7431s / 17716.9868 s
env0_first_0:                 episode reward: -24.0000,                 loss: 0.0604
env0_second_0:                 episode reward: 24.0000,                 loss: 0.0695
env1_first_0:                 episode reward: -22.6000,                 loss: nan
env1_second_0:                 episode reward: 22.6000,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 3661.3,                last time consumption/overall running time: 1390.7488s / 19107.7356 s
env0_first_0:                 episode reward: -19.0000,                 loss: 0.0591
env0_second_0:                 episode reward: 19.0000,                 loss: 0.0652
env1_first_0:                 episode reward: -18.8500,                 loss: nan
env1_second_0:                 episode reward: 18.8500,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 4099.25,                last time consumption/overall running time: 1556.7345s / 20664.4702 s
