pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f92406c5fd0>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 1122, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'fictitious_selfplay', 'marl_spec': {'selfplay_score_delta': 60, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Episode: 1, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: 0.0007
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 21, avg. length 1784.0
first_0:                 episode reward: 13.3000,                 loss: 0.0028
second_0:                 episode reward: -13.3000,                 loss: nan
Episode: 41, avg. length 1784.0
first_0:                 episode reward: 9.9000,                 loss: 0.0055
second_0:                 episode reward: -9.9000,                 loss: nan
Episode: 61, avg. length 1784.0
first_0:                 episode reward: 17.2000,                 loss: 0.0051
second_0:                 episode reward: -17.2000,                 loss: nan
Episode: 81, avg. length 1784.0
first_0:                 episode reward: 14.1500,                 loss: 0.0116
second_0:                 episode reward: -14.1500,                 loss: nan
Score delta: 66.2, save the model to ..//model/pettingzoo_boxing_v1_fictitious_selfplay_DQN_20211105172837/64.
Episode: 101, avg. length 1784.0
first_0:                 episode reward: 13.2500,                 loss: 0.0165
second_0:                 episode reward: -13.2500,                 loss: nan
Episode: 121, avg. length 1784.0
first_0:                 episode reward: 20.2000,                 loss: 0.0199
second_0:                 episode reward: -20.2000,                 loss: nan
Episode: 141, avg. length 1784.0
first_0:                 episode reward: 21.5000,                 loss: 0.0148
second_0:                 episode reward: -21.5000,                 loss: nan
Score delta: 67.4, save the model to ..//model/pettingzoo_boxing_v1_fictitious_selfplay_DQN_20211105172837/131.
Episode: 161, avg. length 1784.0
first_0:                 episode reward: 5.2500,                 loss: 0.0130
second_0:                 episode reward: -5.2500,                 loss: nan
Episode: 181, avg. length 1784.0
first_0:                 episode reward: 16.2000,                 loss: 0.0140
second_0:                 episode reward: -16.2000,                 loss: nan
Episode: 201, avg. length 1671.65
first_0:                 episode reward: 23.5000,                 loss: 0.0173
second_0:                 episode reward: -23.5000,                 loss: nan
Score delta: 62.0, save the model to ..//model/pettingzoo_boxing_v1_fictitious_selfplay_DQN_20211105172837/196.
Episode: 221, avg. length 1784.0
first_0:                 episode reward: 11.2000,                 loss: 0.0181
second_0:                 episode reward: -11.2000,                 loss: nan
Episode: 241, avg. length 1784.0
