pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
pong_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=6, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=6, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'pong_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 5, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20220206_1455/pettingzoo_pong_v2_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220206_1455/pettingzoo_pong_v2_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 1348.0,                last time consumption/overall running time: 54.4544s / 54.4544 s
env0_first_0:                 episode reward: 4.0000,                 loss: 0.0809
env0_second_0:                 episode reward: -4.0000,                 loss: 0.0785
env1_first_0:                 episode reward: -10.0000,                 loss: nan
env1_second_0:                 episode reward: 10.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1310.25,                last time consumption/overall running time: 1226.7816s / 1281.2360 s
env0_first_0:                 episode reward: 2.8000,                 loss: 0.0896
env0_second_0:                 episode reward: -2.8000,                 loss: 0.0901
env1_first_0:                 episode reward: 0.8500,                 loss: nan
env1_second_0:                 episode reward: -0.8500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1520.2,                last time consumption/overall running time: 1589.2458s / 2870.4818 s
env0_first_0:                 episode reward: 1.7500,                 loss: 0.1330
env0_second_0:                 episode reward: -1.7500,                 loss: 0.1278
env1_first_0:                 episode reward: 1.1000,                 loss: nan
env1_second_0:                 episode reward: -1.1000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1590.95,                last time consumption/overall running time: 1863.7809s / 4734.2627 s
env0_first_0:                 episode reward: -4.9500,                 loss: 0.1160
env0_second_0:                 episode reward: 4.9500,                 loss: 0.1208
env1_first_0:                 episode reward: -7.1000,                 loss: nan
env1_second_0:                 episode reward: 7.1000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 1629.25,                last time consumption/overall running time: 2102.9288s / 6837.1915 s
env0_first_0:                 episode reward: -12.2500,                 loss: 0.1026
env0_second_0:                 episode reward: 12.2500,                 loss: 0.1002
env1_first_0:                 episode reward: -8.4000,                 loss: nan
env1_second_0:                 episode reward: 8.4000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1800.5,                last time consumption/overall running time: 2346.7473s / 9183.9388 s
env0_first_0:                 episode reward: -11.8500,                 loss: 0.0899
env0_second_0:                 episode reward: 11.8500,                 loss: 0.0868
env1_first_0:                 episode reward: -8.9000,                 loss: nan
env1_second_0:                 episode reward: 8.9000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2108.85,                last time consumption/overall running time: 2738.8047s / 11922.7435 s
env0_first_0:                 episode reward: -8.7500,                 loss: 0.0699
env0_second_0:                 episode reward: 8.7500,                 loss: 0.0656
env1_first_0:                 episode reward: -9.1000,                 loss: nan
env1_second_0:                 episode reward: 9.1000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2293.6,                last time consumption/overall running time: 2967.2843s / 14890.0278 s
env0_first_0:                 episode reward: -6.8500,                 loss: 0.0610
env0_second_0:                 episode reward: 6.8500,                 loss: 0.0586
env1_first_0:                 episode reward: -7.8000,                 loss: nan
env1_second_0:                 episode reward: 7.8000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 2226.05,                last time consumption/overall running time: 2899.7999s / 17789.8277 s
env0_first_0:                 episode reward: -5.1000,                 loss: 0.0566
env0_second_0:                 episode reward: 5.1000,                 loss: 0.0571
env1_first_0:                 episode reward: -5.9500,                 loss: nan
env1_second_0:                 episode reward: 5.9500,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 2346.35,                last time consumption/overall running time: 3082.0147s / 20871.8424 s
env0_first_0:                 episode reward: -6.5500,                 loss: 0.0581
env0_second_0:                 episode reward: 6.5500,                 loss: 0.0581
env1_first_0:                 episode reward: -6.2500,                 loss: nan
env1_second_0:                 episode reward: 6.2500,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 2352.7,                last time consumption/overall running time: 3082.4659s / 23954.3083 s
env0_first_0:                 episode reward: -6.6000,                 loss: 0.0560
env0_second_0:                 episode reward: 6.6000,                 loss: 0.0567
env1_first_0:                 episode reward: -5.2000,                 loss: nan
env1_second_0:                 episode reward: 5.2000,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 2483.3,                last time consumption/overall running time: 3246.6166s / 27200.9249 s
env0_first_0:                 episode reward: -4.2000,                 loss: 0.0580
env0_second_0:                 episode reward: 4.2000,                 loss: 0.0560
env1_first_0:                 episode reward: -3.2500,                 loss: nan
env1_second_0:                 episode reward: 3.2500,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 2349.7,                last time consumption/overall running time: 3075.8205s / 30276.7454 s
env0_first_0:                 episode reward: -7.8500,                 loss: 0.0554
env0_second_0:                 episode reward: 7.8500,                 loss: 0.0553
env1_first_0:                 episode reward: -5.8000,                 loss: nan
env1_second_0:                 episode reward: 5.8000,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 2362.4,                last time consumption/overall running time: 3090.6013s / 33367.3467 s
env0_first_0:                 episode reward: -6.8500,                 loss: 0.0556
env0_second_0:                 episode reward: 6.8500,                 loss: 0.0544
env1_first_0:                 episode reward: -7.5000,                 loss: nan
env1_second_0:                 episode reward: 7.5000,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 2349.55,                last time consumption/overall running time: 3062.3093s / 36429.6561 s
env0_first_0:                 episode reward: -7.3500,                 loss: 0.0543
env0_second_0:                 episode reward: 7.3500,                 loss: 0.0532
env1_first_0:                 episode reward: -6.1500,                 loss: nan
env1_second_0:                 episode reward: 6.1500,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 2388.0,                last time consumption/overall running time: 3123.6697s / 39553.3258 s
env0_first_0:                 episode reward: -7.6500,                 loss: 0.0524
env0_second_0:                 episode reward: 7.6500,                 loss: 0.0522
env1_first_0:                 episode reward: -6.8500,                 loss: nan
env1_second_0:                 episode reward: 6.8500,                 loss: nan
Episode: 321/10000 (3.2100%),                 avg. length: 2453.9,                last time consumption/overall running time: 3213.5603s / 42766.8861 s
env0_first_0:                 episode reward: -5.9000,                 loss: 0.0536
env0_second_0:                 episode reward: 5.9000,                 loss: 0.0517
env1_first_0:                 episode reward: -6.3500,                 loss: nan
env1_second_0:                 episode reward: 6.3500,                 loss: nan
Episode: 341/10000 (3.4100%),                 avg. length: 2421.2,                last time consumption/overall running time: 3154.3862s / 45921.2723 s
env0_first_0:                 episode reward: -6.1000,                 loss: 0.0531
env0_second_0:                 episode reward: 6.1000,                 loss: 0.0511
env1_first_0:                 episode reward: -6.7500,                 loss: nan
env1_second_0:                 episode reward: 6.7500,                 loss: nan
Episode: 361/10000 (3.6100%),                 avg. length: 2468.3,                last time consumption/overall running time: 3225.4344s / 49146.7068 s
env0_first_0:                 episode reward: -6.4000,                 loss: 0.0536
env0_second_0:                 episode reward: 6.4000,                 loss: 0.0536
env1_first_0:                 episode reward: -5.5000,                 loss: nan
env1_second_0:                 episode reward: 5.5000,                 loss: nan
Episode: 381/10000 (3.8100%),                 avg. length: 2367.2,                last time consumption/overall running time: 3116.6113s / 52263.3181 s
env0_first_0:                 episode reward: -4.7000,                 loss: 0.0545
env0_second_0:                 episode reward: 4.7000,                 loss: 0.0546
env1_first_0:                 episode reward: -6.5000,                 loss: nan
env1_second_0:                 episode reward: 6.5000,                 loss: nan
Episode: 401/10000 (4.0100%),                 avg. length: 2463.15,                last time consumption/overall running time: 3211.8557s / 55475.1738 s
env0_first_0:                 episode reward: -5.2500,                 loss: 0.0536
env0_second_0:                 episode reward: 5.2500,                 loss: 0.0535
env1_first_0:                 episode reward: -6.0500,                 loss: nan
env1_second_0:                 episode reward: 6.0500,                 loss: nan
Episode: 421/10000 (4.2100%),                 avg. length: 2208.3,                last time consumption/overall running time: 2886.2356s / 58361.4094 s
env0_first_0:                 episode reward: -7.5500,                 loss: 0.0539
env0_second_0:                 episode reward: 7.5500,                 loss: 0.0525
env1_first_0:                 episode reward: -9.9500,                 loss: nan
env1_second_0:                 episode reward: 9.9500,                 loss: nan
Episode: 441/10000 (4.4100%),                 avg. length: 2504.9,                last time consumption/overall running time: 3282.1832s / 61643.5927 s
env0_first_0:                 episode reward: -5.5000,                 loss: 0.0520
env0_second_0:                 episode reward: 5.5000,                 loss: 0.0514
env1_first_0:                 episode reward: -3.9000,                 loss: nan
env1_second_0:                 episode reward: 3.9000,                 loss: nan
Episode: 461/10000 (4.6100%),                 avg. length: 2452.05,                last time consumption/overall running time: 3194.7820s / 64838.3747 s
env0_first_0:                 episode reward: -4.2000,                 loss: 0.0514
env0_second_0:                 episode reward: 4.2000,                 loss: 0.0515
env1_first_0:                 episode reward: -4.1500,                 loss: nan
env1_second_0:                 episode reward: 4.1500,                 loss: nan
Episode: 481/10000 (4.8100%),                 avg. length: 2502.35,                last time consumption/overall running time: 3279.6885s / 68118.0632 s
env0_first_0:                 episode reward: -6.2000,                 loss: 0.0524
env0_second_0:                 episode reward: 6.2000,                 loss: 0.0526
env1_first_0:                 episode reward: -5.6500,                 loss: nan
env1_second_0:                 episode reward: 5.6500,                 loss: nan
Episode: 501/10000 (5.0100%),                 avg. length: 2535.75,                last time consumption/overall running time: 3323.8324s / 71441.8956 s
env0_first_0:                 episode reward: -4.1000,                 loss: 0.0520
env0_second_0:                 episode reward: 4.1000,                 loss: 0.0516
env1_first_0:                 episode reward: -7.0500,                 loss: nan
env1_second_0:                 episode reward: 7.0500,                 loss: nan
Episode: 521/10000 (5.2100%),                 avg. length: 2354.55,                last time consumption/overall running time: 3064.0317s / 74505.9273 s
env0_first_0:                 episode reward: -5.5500,                 loss: 0.0522
env0_second_0:                 episode reward: 5.5500,                 loss: 0.0508
env1_first_0:                 episode reward: -6.7000,                 loss: nan
env1_second_0:                 episode reward: 6.7000,                 loss: nan
Episode: 541/10000 (5.4100%),                 avg. length: 2533.65,                last time consumption/overall running time: 3285.8748s / 77791.8021 s
env0_first_0:                 episode reward: -2.8000,                 loss: 0.0519
env0_second_0:                 episode reward: 2.8000,                 loss: 0.0513
env1_first_0:                 episode reward: -2.7500,                 loss: nan
env1_second_0:                 episode reward: 2.7500,                 loss: nan
Episode: 561/10000 (5.6100%),                 avg. length: 2406.4,                last time consumption/overall running time: 3148.3114s / 80940.1135 s
env0_first_0:                 episode reward: -5.5500,                 loss: 0.0510
env0_second_0:                 episode reward: 5.5500,                 loss: 0.0501
env1_first_0:                 episode reward: -5.6500,                 loss: nan
env1_second_0:                 episode reward: 5.6500,                 loss: nan
Episode: 581/10000 (5.8100%),                 avg. length: 2443.4,                last time consumption/overall running time: 3181.9811s / 84122.0946 s
env0_first_0:                 episode reward: -6.1500,                 loss: 0.0497
env0_second_0:                 episode reward: 6.1500,                 loss: 0.0496
env1_first_0:                 episode reward: -7.1000,                 loss: nan
env1_second_0:                 episode reward: 7.1000,                 loss: nan
Episode: 601/10000 (6.0100%),                 avg. length: 2425.5,                last time consumption/overall running time: 3143.5554s / 87265.6501 s
env0_first_0:                 episode reward: -5.0500,                 loss: 0.0493
env0_second_0:                 episode reward: 5.0500,                 loss: 0.0488
env1_first_0:                 episode reward: -6.5000,                 loss: nan
env1_second_0:                 episode reward: 6.5000,                 loss: nan
Episode: 621/10000 (6.2100%),                 avg. length: 2553.6,                last time consumption/overall running time: 3332.2158s / 90597.8659 s
env0_first_0:                 episode reward: -4.9500,                 loss: 0.0497
env0_second_0:                 episode reward: 4.9500,                 loss: 0.0496
env1_first_0:                 episode reward: -5.8000,                 loss: nan
env1_second_0:                 episode reward: 5.8000,                 loss: nan
Episode: 641/10000 (6.4100%),                 avg. length: 2437.75,                last time consumption/overall running time: 3167.1635s / 93765.0294 s
env0_first_0:                 episode reward: -6.4500,                 loss: 0.0488
env0_second_0:                 episode reward: 6.4500,                 loss: 0.0502
env1_first_0:                 episode reward: -6.9500,                 loss: nan
env1_second_0:                 episode reward: 6.9500,                 loss: nan
Episode: 661/10000 (6.6100%),                 avg. length: 2552.1,                last time consumption/overall running time: 3316.2687s / 97081.2981 s
env0_first_0:                 episode reward: -5.8000,                 loss: 0.0485
env0_second_0:                 episode reward: 5.8000,                 loss: 0.0483
env1_first_0:                 episode reward: -4.5000,                 loss: nan
env1_second_0:                 episode reward: 4.5000,                 loss: nan
